>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     75999 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
   1 -10 -23 -23   2   2   2
   2  -9 -23 -23   2   2   2
   3  -8 -23 -23   2   2   2
   4  -7 -23 -23   2   2   2
   5  -6 -23 -23   2   2   2
   6  -5 -23 -23   2   2   2
   7  -4 -23 -23   2   2   2
   8  -3 -23 -23   2   2   2
   9  -2 -23 -23   2   2   2
  10  -1 -23 -23   2   2   2
  11   0 -23 -23   2   2   2
  12   1 -23 -23   2   2   2
  13   2 -23 -23   2   2   2
  14   3 -23 -23   2   2   2
  15   4 -23 -23   2   2   2
  16   5 -23 -23   2   2   2
  17   6 -23 -23   2   2   2
  18   7 -23 -23   2   2   2
  19   8 -23 -23   2   2   2
  20   9 -23 -23   2   2   2
  21  10 -23 -23   2   2   2
  22 -11 -22 -23   2   2   2
  23 -10 -22 -23   2   2   2
  24  -9 -22 -23   2   2   2
  25  -8 -22 -23   2   2   2
  26  -7 -22 -23   2   2   2
  27  -6 -22 -23   2   2   2
  28  -5 -22 -23   2   2   2
  29  -4 -22 -23   2   2   2
  30  -3 -22 -23   2   2   2
  31  -2 -22 -23   2   2   2
  32  -1 -22 -23   2   2   2
  33   0 -22 -23   2   2   2
  34   1 -22 -23   2   2   2
  35   2 -22 -23   2   2   2
  36   3 -22 -23   2   2   2
  37   4 -22 -23   2   2   2
  38   5 -22 -23   2   2   2
  39   6 -22 -23   2   2   2
  40   7 -22 -23   2   2   2
  41   8 -22 -23   2   2   2
  42   9 -22 -23   2   2   2
  43  10 -22 -23   2   2   2
  44  11 -22 -23   2   2   2
  45 -11 -21 -23   2   2   2
  46 -10 -21 -23   2   2   2
  47  -9 -21 -23   2   2   2
  48  -8 -21 -23   2   2   2
  49  -7 -21 -23   2   2   2
  50  -6 -21 -23   2   2   2
  51  -5 -21 -23   2   2   2
  52  -4 -21 -23   2   2   2
  53  -3 -21 -23   2   2   2
  54  -2 -21 -23   2   2   2
  55  -1 -21 -23   2   2   2
  56   0 -21 -23   2   2   2
  57   1 -21 -23   2   2   2
  58   2 -21 -23   2   2   2
  59   3 -21 -23   2   2   2
  60   4 -21 -23   2   2   2
  61   5 -21 -23   2   2   2
  62   6 -21 -23   2   2   2
  63   7 -21 -23   2   2   2
  64   8 -21 -23   2   2   2
  65   9 -21 -23   2   2   2
  66  10 -21 -23   2   2   2
  67  11 -21 -23   2   2   2
  68 -12 -20 -23   2   2   2
  69 -11 -20 -23   2   2   2
  70 -10 -20 -23   2   2   2
